template,slot,name
standard,0,Click
standard,1,DblClick
standard,2,DragDrop
standard,3,DragOver
standard,4,GotFocus
standard,5,KeyDown
standard,6,KeyPress
standard,7,KeyUp
standard,8,LostFocus
standard,9,MouseDown
standard,10,MouseMove
standard,11,MouseUp
standard,12,LinkError
standard,13,LinkOpen
standard,14,LinkClose
standard,15,LinkNotify
standard,16,Change
standard,17,OLEDragOver
standard,18,OLEDragDrop
standard,19,OLEGiveFeedback
standard,20,OLEStartDrag
standard,21,OLESetData
standard,22,OLECompleteDrag
standard,23,Validate
form,0,Activate
form,1,Initialize
form,2,Resize
form,3,Terminate
form,4,Load
form,5,Paint
form,6,QueryUnload
form,7,Unload
timer,0,Timer
usercontrol,0,ReadProperties
usercontrol,1,WriteProperties
usercontrol,2,InitProperties
usercontrol,3,Show
usercontrol,4,Hide
usercontrol,5,AmbientChanged
usercontrol,6,EnterFocus
usercontrol,7,ExitFocus
usercontrol,8,AccessKeyPress
usercontrol,9,GetDataMember
usercontrol,10,HitTest
usercontrol,11,AsyncReadComplete
usercontrol,12,AsyncReadProgress
